id,current_slug,new_code,new_slug,name_pl,name_en,category_name,primary_category_name,ean_standard,slug_collision_group,notes
3a356005-aa51-45e6-910c-68033c0efb3e,KIMCHI-126,ADG-000033,mleko-kokosowe-70-wyciagu-z-kokosa-1l-w-kartonie-aroy-d-adg000033,Mleko kokosowe (70% wyciągu z kokosa) 1L w kartonie AROY-D,Coconut Milk (70% Coconut Extract) 1L Carton - AROY-D,Mleczko kokosowe,Mleczko kokosowe,,mleko-kokosowe-70-wyciagu-z-kokosa-1l-w-kartonie-aroy-d,raw_slug_collision_suffix_added|missing_ean_standard
07ea98ed-dce8-416e-9294-05b85cf0f1b5,KIMCHI-128,ADG-000034,grzyby-shiitake-suszone-100g-asia-kitchen,Grzyby shiitake suszone 100g Asia Kitchen,Dried Shiitake Mushrooms 100g - Asia Kitchen,Grzyby shiitake,Grzyby shiitake,,,missing_ean_standard
deb0400d-0933-4c43-9482-ecdb27e459b0,KIMCHI-132,ADG-000035,mlody-imbir-marynowany-rozowy-190g-house-of-asia,Młody imbir marynowany różowy 190g - House of Asia,Young Pickled Ginger Pink 190g - House of Asia,Imbir marynowany,Imbir marynowany,,,missing_ean_standard
b31dd51a-8ddb-40e5-bdf4-e7cb9971f685,KIMCHI-133,ADG-000036,pasta-wasabi-43g-house-of-asia,Pasta wasabi 43g House of Asia,Wasabi Paste 43g - House of Asia,Wasabi,Wasabi,,,missing_ean_standard
c8593d71-1a07-4b94-8457-dcebb41a025a,KIMCHI-134,ADG-000037,ryz-do-sushi-500g-house-of-asia,Ryż do sushi 500g House of Asia,Sushi Rice 500g House of Asia,Ryż i inne ziarna,Ryż i inne ziarna,,,missing_ean_standard
8a48b9da-1979-42b8-8662-e2bb96ffce56,KIMCHI-135,ADG-000038,pasta-miso-5-saszetek-75g-house-of-asia,"Pasta miso, 5 saszetek (75g) House of Asia","Miso Paste, 5 Sachets (75g) - House of Asia",Pasta miso,Pasta miso,,,missing_ean_standard
e2ebc363-6b5b-4eaf-b617-e8b44b9b0b88,KIMCHI-137,ADG-000039,mata-bambusowa-do-sushi-24-x-24cm-house-of-asia,Mata bambusowa do sushi 24 x 24cm - House of Asia,Bamboo Sushi Mat 24 x 24cm - House of Asia,Maty do zwijania,Maty do zwijania,,,missing_ean_standard
3361b22c-5fe0-4606-86d3-536da916f3e0,KIMCHI-146,ADG-000040,ryz-do-sushi-1kg-kimpo,Ryż do sushi 1kg Kimpo,Sushi Rice 1kg Kimpo,Ryż i inne ziarna,Ryż i inne ziarna,,,missing_ean_standard
c8a6d1fb-6d25-49ef-b744-f40967149970,KIMCHI-149,ADG-000041,oryginalny-sos-worcestershire-290ml-lea-and-perrins,Oryginalny sos Worcestershire 290ml Lea & Perrins,Original Worcestershire Sauce 290ml - Lea & Perrins,Sosy / Marynaty / Oleje,Sosy / Marynaty / Oleje,,,missing_ean_standard
cc977b7c-3330-4c93-8ce1-ebf960d79c73,KIMCHI-152,ADG-000042,pasta-wasabi-w-tubce-43g-miyata,Pasta wasabi w tubce 43g Miyata,Wasabi Paste in Tube 43g - Miyata,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
b9351b3d-c4eb-4379-87ed-25ae07078f61,KIMCHI-153,ADG-000043,mirin-150ml-miyata,Mirin 150ml Miyata,Mirin 150ml Miyata,Octy i winne przyprawy,Octy i winne przyprawy,,,missing_ean_standard
933817f4-574d-4411-8c83-59b5d406111b,KIMCHI-154,ADG-000044,sos-rybny-300ml-squid,Sos rybny 300ml Squid,Fish Sauce 300ml Squid,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
cbe759f2-6f35-4029-a9bd-95a6f76328af,KIMCHI-155,ADG-000045,olej-sezamowy-250ml-diamond,Olej sezamowy 250ml Diamond,Sesame Oil 250ml Diamond,Oleje,Oleje,,,missing_ean_standard
69404314-95dd-4b37-841a-0d0db9639d7d,KIMCHI-156,ADG-000046,makaron-soba-300g-chunsi,Makaron soba 300g Chunsi,Soba Noodles 300g Chunsi,Makaron gryczany,Makaron gryczany,,,missing_ean_standard
6a1f47f9-7b57-4832-9795-3dd3e442a21b,KIMCHI-157,ADG-000047,makaron-ryzowy-3mm-400g-farmer,Makaron ryżowy 3mm 400g Farmer,Rice Noodles 3mm 400g Farmer,Makaron ryżowy,Makaron ryżowy,,,missing_ean_standard
d7a3e40d-8c0b-4fa2-87b4-eda855f18c80,KIMCHI-158,ADG-000048,makaron-ryzowy-5mm-400g-farmer,Makaron ryżowy 5mm 400g Farmer,Rice Noodles 5mm 400g Farmer,Makaron ryżowy,Makaron ryżowy,,,missing_ean_standard
ec06316f-dffe-4ca3-85fe-5825235fdd02,KIMCHI-165,ADG-000049,tempura-miks-do-smazenia-500g-ottogi,"Tempura, miks do smażenia 500g Ottogi",Tempura Frying Mix 500g - Ottogi,Mąki / Panierki / Tapioka,Mąki / Panierki / Tapioka,,,missing_ean_standard
e1e6f7f6-1a83-4566-9224-71793f982039,KIMCHI-171,ADG-000050,tykwa-kanpyo-w-zalewie-karmelowej-1kg-nobi,Tykwa Kanpyō w zalewie karmelowej 1kg Nobi,Kanpyō Gourd in Caramel Marinade 1kg - Nobi,Owoce / Marynowane warzywa,Owoce / Marynowane warzywa,,,missing_ean_standard
095f59df-421a-4803-960c-80092d0b8a12,KIMCHI-172,ADG-000051,sos-ostrygowy-mae-krua-150ml,Sos ostrygowy Mae Krua 150ml,Oyster Sauce Mae Krua 150ml,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
287915de-af7b-43a0-b9da-aff6835edddd,KIMCHI-183,ADG-000052,sos-chili-sriracha-bardzo-ostry-chili-61-200ml-flying-goose,"Sos chili Sriracha, bardzo ostry (chili 61%) 200ml Flying Goose","Chili Sauce Sriracha, Very Spicy (chili 61%) 200ml Flying Goose","Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
db5bf6ca-3214-4e55-9d29-dcd9cdbbc48f,KIMCHI-186,ADG-000053,sos-sambal-oelek-200g-diamond,Sos Sambal Oelek 200g Diamond,Sambal Oelek Sauce 200g Diamond,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
02fe4e19-1af4-4171-8703-27d8e35a9ed5,KIMCHI-190,ADG-000054,pasta-curry-massaman-50g,Pasta Curry Massaman 50g,Massaman Curry Paste 50g,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
da4e62d4-0ca7-4074-ab18-f3ce75df5d85,KIMCHI-191,ADG-000055,pasta-curry-czerwona-50g,Pasta curry czerwona 50g,Red Curry Paste 50g,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
dfbd5ffe-4745-4f6e-92de-ffe2aecc2c5a,KIMCHI-192,ADG-000056,pasta-curry-zielona-50g-cock-brand,Pasta curry zielona 50g Cock Brand,Green Curry Paste 50g - Cock Brand,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
eb03f71d-5d6f-40cb-bcbb-5447b3274267,KIMCHI-193,ADG-000057,pasta-tom-kha-50g-lobo,Pasta Tom Kha 50g Lobo,Tom Kha Paste 50g - Lobo,Buliony,Buliony,,,missing_ean_standard
d83b9620-c45e-4949-a7e4-6b964a283c99,KIMCHI-194,ADG-000058,pasta-tom-yum-30g-lobo,Pasta Tom Yum 30g Lobo,Tom Yum Paste 30g - Lobo,Buliony,Buliony,,,missing_ean_standard
7884aa86-036b-4036-994a-b1c040deba29,KIMCHI-199,ADG-000059,ryz-do-sushi-kimpo-calrose-9-07-kg,"Ryż do sushi Kimpo Calrose 9,07 kg",Calrose Sushi Rice Kimpo 9.07kg,Ryż i inne ziarna,Ryż i inne ziarna,,,missing_ean_standard
616acba6-fc39-4a9d-be19-9a2dfbae04c6,KIMCHI-204,ADG-000060,napoj-lychee-350ml-foco,Napój Lychee 350ml Foco,Lychee Drink 350ml Foco,Napoje,Napoje,,,missing_ean_standard
f86c6883-4072-4906-a5a7-12ca7e24bc48,KIMCHI-220,ADG-000061,mata-bambusowa-do-sushi-cienka-24x24cm,Mata bambusowa do sushi (cienka) 24x24cm,Sushi Bamboo Mat (Thin) 24x24cm,Maty do zwijania,Maty do zwijania,,,missing_ean_standard
2da68988-e8b0-4ff4-9095-a467f89d08b5,KIMCHI-224,ADG-000062,suszone-grzyby-mun-cale-100g-asia-kitchen,"Suszone grzyby mun, całe 100g Asia Kitchen",Dried Whole Shiitake Mushrooms 100g - Asia Kitchen,Grzyby mun,Grzyby mun,,,missing_ean_standard
f9e24a1c-90a2-4eff-8a0d-b162187ec8ef,KIMCHI-225,ADG-000063,sos-chili-sambal-oelek-360g-wendjoe,Sos chili Sambal Oelek 360g Wendjoe,Chili Sauce Sambal Oelek 360g Wendjoe,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
8f24241e-2604-4405-b268-efaa3da2ea57,KIMCHI-226,ADG-000064,sos-sojowy-slodki-healthy-boy-700ml,Sos sojowy słodki Healthy Boy 700ml,,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
62aa5b36-9d31-4a7d-a941-f065f470dfd0,KIMCHI-229,ADG-000065,mozdzierz-granitowy-sr-18cm,Moździerz granitowy - śr. 18cm,,Moździerze,Moździerze,,,missing_ean_standard
399a4a67-8e13-4881-bd9a-9a0542373382,KIMCHI-238,ADG-000066,chipsy-krewetkowe-75g-nongshim,Chipsy krewetkowe 75g - Nongshim,Chipsy shrimp 75g - Nongshim,Słodycze / Przekąski,Słodycze / Przekąski,,,missing_ean_standard
68dfa501-74cb-454b-918c-2c71f4acc13b,KIMCHI-240,ADG-000067,mozdzierz-granitowy-sr-14cm,Moździerz granitowy - śr. 14cm,,Moździerze,Moździerze,,,missing_ean_standard
0784006d-ac65-402d-bb8f-b952e6073fa2,KIMCHI-241,ADG-000068,mozdzierz-granitowy-sr-15-5cm,"Moździerz granitowy - śr. 15,5cm",,Moździerze,Moździerze,,,missing_ean_standard
8c8ec793-c6a8-4c5e-ad09-5a6e44578392,KIMCHI-242,ADG-000069,grzyby-shiitake-w-zalewie-284g-diamond,Grzyby shiitake w zalewie 284g Diamond,Shiitake Mushrooms in Marinade 284g - Diamond,Grzyby shiitake,Grzyby shiitake,,,missing_ean_standard
807b4753-dfc5-4ec6-a3f1-fc954c444cee,KIMCHI-250,ADG-000070,pasta-tom-kha-227g-cook-brand,Pasta Tom Kha 227g Cook Brand,Tom Kha Paste 227g - Cook Brand,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
fee84445-fa4e-4ef8-bf8c-be3a1354dad2,KIMCHI-251,ADG-000071,suszone-grzyby-mun-krojone-100g-asia-kitchen,"Suszone grzyby mun, krojone 100g Asia Kitchen",Dried Sliced Shiitake Mushrooms 100g - Asia Kitchen,Grzyby mun,Grzyby mun,,,missing_ean_standard
fd18ba1b-3e59-49f5-bd13-cdd41046b4a3,KIMCHI-254,ADG-000072,sos-sojowy-koikuchi-naturalnie-warzony-1l-yamasa,"Sos sojowy Koikuchi, naturalnie warzony 1L Yamasa","Koikuchi Soy Sauce, Naturally Brewed 1L - Yamasa",Sos sojowy,Sos sojowy,,,missing_ean_standard
a7afb846-034f-4204-87e6-f33846105833,KIMCHI-269,ADG-000073,galangal-w-proszku-100g-cock-brand,Galangal w proszku 100g Cock Brand,Galangal Powder 100g Cock Brand,Przyprawy,Przyprawy,,,missing_ean_standard
e8783e91-cbb5-4323-b97c-84da8761a8c8,KIMCHI-270,ADG-000074,mango-polowki-w-syropie-lekko-slodzonym-425g-diamond,"Mango, połówki w syropie lekko słodzonym 425g Diamond",Mango Halves in Light Syrup 425g - Diamond,Owoce / Marynowane warzywa,Owoce / Marynowane warzywa,,,missing_ean_standard
b3ff6c37-98da-4405-87ba-cc7a1d73145c,KIMCHI-272,ADG-000075,sezam-bialy-obluszczony-500g,Sezam biały obłuszczony 500g,White Hulled Sesame 500g,Sezam,Sezam,,,missing_ean_standard
989795d6-d194-432e-b474-1fddf50f9bb0,KIMCHI-273,ADG-000076,sezam-bialy-obluszczony-100g,Sezam biały obłuszczony 100g,White Hulled Sesame 100g,Sezam,Sezam,,,missing_ean_standard
990c0f7c-4104-4f74-b64f-e88b175cefda,KIMCHI-278,ADG-000077,przyprawa-pieciu-smakow-100g-mee-chun,Przyprawa Pięciu Smaków 100g - Mee Chun,Five Spice Powder 100g - Mee Chun,Przyprawy,Przyprawy,,,missing_ean_standard
157af52f-61b3-404c-8481-065a12269279,KIMCHI-279,ADG-000078,pasta-z-tamaryndowca-227g-suree,Pasta z tamaryndowca 227g - Suree,Tamarind Paste 227g - Suree,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
66c1dd47-05d2-4610-8de8-f53f8d519c81,KIMCHI-281,ADG-000079,dhania-kolendra-mielona-100g-trs,"Dhania, kolendra mielona 100g TRS",Coriander Powder 100g - TRS,Przyprawy,Przyprawy,,,missing_ean_standard
f459f271-4cca-4aac-befa-e79d52138595,KIMCHI-286,ADG-000080,kielki-fasoli-mung-330g-diamond,Kiełki fasoli mung 330g Diamond,Mung Bean Sprouts 330g - Diamond,Owoce / Marynowane warzywa,Owoce / Marynowane warzywa,,,missing_ean_standard
b00762fa-fe37-454e-9f09-df5caddb1fdb,KIMCHI-288,ADG-000081,zupa-instant-shin-ramyun-bardzo-ostra-120g-nongshim,"Zupa instant Shin Ramyun, bardzo ostra 120g Nongshim","Shin Ramyun Instant Noodle Soup, Very Spicy 120g - Nongshim",Ramyun / Ramen,Ramyun / Ramen,,,missing_ean_standard
2da0ffb1-645f-4aff-be6d-89e8814d0c99,KIMCHI-301,ADG-000082,sos-hoisin-397g-lee-kum-kee,Sos Hoisin 397g - Lee Kum Kee,Hoisin Sauce 397g - Lee Kum Kee,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
5a04bbec-ccc3-4428-bf07-96c9f1902b69,KIMCHI-304,ADG-000083,pasta-tom-yum-900g-cock-brand,Pasta Tom Yum 900g - Cock Brand,Tom Yum Paste 900g - Cock Brand,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
f40da944-b91b-432b-94c7-da3e86455111,KIMCHI-310,ADG-000084,sok-z-limonki-250ml-house-of-asia,Sok z limonki 250ml - House of Asia,Lime Juice 250ml - House of Asia,Napoje,Napoje,,,missing_ean_standard
f238ff91-b625-4762-9aca-a6fa5e91a55a,KIMCHI-318,ADG-000085,pasta-curry-czerwona-400g,Pasta curry czerwona 400g,Red Curry Paste 400g,Pasty smakowe,Pasty smakowe,,,missing_ean_standard
701ba107-17bb-4021-afa2-74e4cf6f0280,KIMCHI-323,ADG-000086,wakame-suszone-wodorosty-500g-nobi,"Wakame, suszone wodorosty 500g Nobi","Wakame, dried seaweed 500g Nobi",Wakame / Miyeok,Wakame / Miyeok,,,missing_ean_standard
e1b1219f-d952-4e0b-85b0-52e48f01800e,KIMCHI-324,ADG-000087,zupa-makaronowa-neoguri-ramyun-z-owocami-morza-ostra-120g-nongshim,"Zupa makaronowa Neoguri Ramyun z owocami morza, ostra 120g - Nongshim","Neoguri Ramyun Seafood Noodle Soup, Spicy 120g - Nongshim",Ramyun / Ramen,Ramyun / Ramen,,,missing_ean_standard
30849b3d-495d-4a3e-994e-83af1f810c42,KIMCHI-327,ADG-000088,sos-teriyaki-gesty-200g-lee-kum-kee,"Sos Teriyaki, gęsty 200g - Lee Kum Kee",Thick Teriyaki Sauce 200g - Lee Kum Kee,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
86eba157-77c4-47a8-9e10-465f49055467,KIMCHI-335,ADG-000089,grzyby-slomiane-pochwiaki-425g-diamond,Grzyby słomiane (pochwiaki) 425g - Diamond,Straw Mushrooms (Volvariella) 425g - Diamond,Inne grzyby azjatyckie,Inne grzyby azjatyckie,,,missing_ean_standard
92d6605a-5115-41e2-8411-0f1a28a925fc,KIMCHI-337,ADG-000090,panierka-panko-1kg-inaka,Panierka Panko 1kg - Inaka,Panko Breadcrumbs 1kg - Inaka,Mąki / Panierki / Tapioka,Mąki / Panierki / Tapioka,,,missing_ean_standard
f588dea3-e54b-4fc8-b2f9-56ca33933098,KIMCHI-343,ADG-000091,cukier-trzcinowy-brazowy-nierafinowany-500g-mauritus-golden-cane,Cukier trzcinowy (brązowy) nierafinowany 500g - Mauritus Golden Cane,Unrefined Brown Sugar 500g - Mauritus Golden Cane,Przyprawy jednoskładnikowe,Przyprawy jednoskładnikowe,,,missing_ean_standard
a490f812-95f6-4684-b022-4ced38007635,KIMCHI-348,ADG-000092,syrop-kukurydziany-100-700g-cjo-essential,Syrop kukurydziany 100% 700g - CJO Essential,100% Corn Syrup 700g - CJO Essential,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
cf0821aa-14b3-47f0-9ccc-ba490a7c8bfb,KIMCHI-350,ADG-000093,pasta-paprykowa-gochujang-ostra-500g-sempio,"Pasta paprykowa Gochujang, ostra 500g - Sempio","Pasta paprykowa Gochujang, spicy 500g - Sempio",Pasty smakowe,Pasty smakowe,,,missing_ean_standard
a47ba2c5-b20e-436c-8f8f-80768f6fa6b4,KIMCHI-353,ADG-000094,sos-ostrygowy-mae-krua-600ml,Sos ostrygowy Mae Krua 600ml,Oyster Sauce Mae Krua 600ml,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
cad06094-f283-4097-a19f-a4f857ed0e66,KIMCHI-354,ADG-000095,sos-rybny-725ml-squid,Sos rybny 725ml - Squid,Fish Sauce 725ml - Squid,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
fbb02e6e-7afd-456c-a95b-89191d711b7d,KIMCHI-355,ADG-000096,zupa-instant-shin-kimchi-ramyun-ostra-120g-nongshim,"Zupa instant Shin Kimchi Ramyun, ostra 120g Nongshim",Instant Shin Kimchi Ramyun Spicy 120g - Nongshim,Ramyun / Ramen,Ramyun / Ramen,,,missing_ean_standard
d41e1380-bb47-443d-867a-05c201800686,KIMCHI-357,ADG-000097,slodko-pikantny-sos-chili-do-kurczaka-650ml-cock-brand,Słodko-pikantny sos chili do kurczaka 650ml - Cock Brand,Sweet and Spicy Chili Sauce for Chicken 650ml - Cock Brand,"Sosy, marynaty","Sosy, marynaty",,,missing_ean_standard
768b2f6d-f60e-422b-a05e-01d8eea76649,KIMCHI-361,ADG-000098,cukier-palmowy-brylki-454g-cock-brand,"Cukier palmowy, bryłki 454g - Cock Brand","Palm Sugar, Blocks 454g - Cock Brand",Przyprawy jednoskładnikowe,Przyprawy jednoskładnikowe,,,missing_ean_standard
