id,name,slug,product_url,category,skus,eans,ean_sources,price_amounts,stock_values,image_urls,broken_image_urls,dietary_tags,allergens,english_name,english_description,severity,issues
cdd6b355-bdec-45e5-9511-2a265409e832,Zestaw DIY Popin Cookin Choco Fondue Party 31g - Kracie,zestaw-diy-popin-cookin-choco-fondue-party-31g-kracie,https://asiandeligo.eshoper.pro/products/zestaw-diy-popin-cookin-choco-fondue-party-31g-kracie,Słodycze / Przekąski,ADG-000885,,,45|45,0,https://img.zira.pl/asiandeligo/products/KIMCHI-4029/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-4029/2.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-4029/3.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-4029/4.webp,,,eggs|soybeans|milk,DIY Popin Cookin Choco Fondue Party 31g - Kracie,DIY Popin Cookin Choco Fondue Party 31g - Kracie,review,legacy_image_key|out_of_stock|non_ascii_category_slug|missing_ean
c902f0d5-9751-4578-83ca-9b027c38c214,Curry Medium Hot - curry instant w proszku 1kg - Ottogi,curry-medium-hot-curry-instant-w-proszku-1kg-ottogi,https://asiandeligo.eshoper.pro/products/curry-medium-hot-curry-instant-w-proszku-1kg-ottogi,Dania gotowe,ADG-000660,,,55.5|55.5,0,https://img.zira.pl/asiandeligo/products/KIMCHI-3151/1.webp,,,cereals|soybeans|milk,Medium Hot Curry - Instant Curry Powder 1kg - Ottogi,Medium hot curry powder for quick and easy meal preparation.,review,legacy_image_key|out_of_stock|missing_ean
2be6b86d-5811-4c87-85b4-c718fef7f860,Danie Tangle makaron z kremowym sosem bulgogi 105g - Samyang,danie-tangle-makaron-z-kremowym-sosem-bulgogi-105g-samyang,https://asiandeligo.eshoper.pro/products/danie-tangle-makaron-z-kremowym-sosem-bulgogi-105g-samyang,Ramyun / Ramen,ADG-001639,,,14.9|14.9,0,https://img.zira.pl/asiandeligo/products/KIMCHI-5546/1.webp,,,cereals|soybeans|celery,Tangle Noodles with Bulgogi Cream Sauce 105g - Samyang,Tangle Noodles with Bulgogi Cream Sauce 105g - Samyang,review,legacy_image_key|out_of_stock|missing_ean
aad13bc6-b94f-426f-9bdc-eb47ae6b7cb7,Fermentowane tofu (hong furu) w czerwonym różanym sosie 340g - Wangzhihe,fermentowane-tofu-hong-furu-w-czerwonym-rozanym-sosie-340g-wangzhihe,https://asiandeligo.eshoper.pro/products/fermentowane-tofu-hong-furu-w-czerwonym-rozanym-sosie-340g-wangzhihe,"Sosy, marynaty",ADG-001054,,,16.5|16.5,0,https://img.zira.pl/asiandeligo/products/KIMCHI-4546/1.webp,,,cereals|soybeans,Fermented Tofu (Hong Furu) in Red Sauce 340g - Wangzhihe,Fermented Tofu (Hong Furu) in Red Sauce 340g - Wangzhihe,review,legacy_image_key|out_of_stock|missing_ean
a580b954-c405-41d8-9b2a-8226817eefb4,Ryż basmati 5kg - Laila,ryz-basmati-5kg-laila,https://asiandeligo.eshoper.pro/products/ryz-basmati-5kg-laila,Unmapped,ADG-000393,mpn:837,ean,85.9|85.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2080/1.webp,,,,Basmati Rice 5kg - Laila,"Basmati rice, ideal for various dishes, in a 5kg package.",review,legacy_image_key|missing_allergens|invalid_ean
ed979eb2-c1d7-446b-b63f-6c22f4896eb1,"Sos Teriyaki, japońska marynata 1L - Sen Soy",sos-teriyaki-japonska-marynata-1l-sen-soy,https://asiandeligo.eshoper.pro/products/sos-teriyaki-japonska-marynata-1l-sen-soy,"Sosy, marynaty",ADG-000647,,,19.9|19.9,0,https://img.zira.pl/asiandeligo/products/KIMCHI-3088/1.webp,,,cereals|soybeans,"Teriyaki Sauce, Japanese Marinade 1L - Sen Soy",A versatile Japanese marinade perfect for grilling and stir-frying.,review,legacy_image_key|out_of_stock|missing_ean
d7190b58-a944-4fbc-a488-f56c7abd6435,"Baza do zupy, pasta do Hot Pot po syczuańsku 70g - Lee Kum Kee",baza-do-zupy-pasta-do-hot-pot-po-syczuansku-70g-lee-kum-kee,https://asiandeligo.eshoper.pro/products/baza-do-zupy-pasta-do-hot-pot-po-syczuansku-70g-lee-kum-kee,Pasty smakowe,ADG-000392,mpn:749,ean,9.8|9.8,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2004/1.webp,,,cereals|soybeans,Hot Pot Base Paste Sichuan Style 70g - Lee Kum Kee,Hot Pot Base Paste Sichuan Style for creating a flavorful broth. Mix the contents with 1.5L of water (6 cups) to prepare your Hot Pot base.,review,legacy_image_key|invalid_ean
580203b9-a171-4eb7-bbfd-2a6e822f475d,Pałeczki ze stali nierdzewnej 23cm - 1 para,paleczki-ze-stali-nierdzewnej-23cm-1-para,https://asiandeligo.eshoper.pro/products/paleczki-ze-stali-nierdzewnej-23cm-1-para,Pałeczki i sztućce,ADG-000416,,,8.5|8.5,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2201/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
20555e2a-353a-4eb4-b1aa-a467751da671,Podstawka hashi-oki pod pałeczki Maneki Neko - 1 sztuka,podstawka-hashi-oki-pod-paleczki-maneki-neko-1-sztuka,https://asiandeligo.eshoper.pro/products/podstawka-hashi-oki-pod-paleczki-maneki-neko-1-sztuka,Pałeczki i sztućce,ADG-000750,,,8.8|8.8,100,https://img.zira.pl/asiandeligo/products/KIMCHI-3633/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-3633/2.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
1c33534d-893e-4684-a7b5-c280df9e2c30,Podstawka hashi-oki pod pałeczki Panda - 1 sztuka,podstawka-hashi-oki-pod-paleczki-panda-1-sztuka,https://asiandeligo.eshoper.pro/products/podstawka-hashi-oki-pod-paleczki-panda-1-sztuka,Pałeczki i sztućce,ADG-000751,,,7.89|7.89,100,https://img.zira.pl/asiandeligo/products/KIMCHI-3634/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
2a2084f4-86c3-4fd1-9aef-dc4e1fafe920,"Zestaw czarnych pałeczek 22,5cm - 10 par",zestaw-czarnych-paleczek-22-5cm-10-par,https://asiandeligo.eshoper.pro/products/zestaw-czarnych-paleczek-22-5cm-10-par,Pałeczki i sztućce,ADG-000434,,,37.9|37.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2246/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2246/2.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
a91abc3e-287e-4d9f-9d09-fbf2fcccefb0,"Zestaw do zup, pałeczki ze stali nierdzewnej i łyżka - dla 1 osoby",zestaw-do-zup-paleczki-ze-stali-nierdzewnej-i-lyzka-dla-1-osoby,https://asiandeligo.eshoper.pro/products/zestaw-do-zup-paleczki-ze-stali-nierdzewnej-i-lyzka-dla-1-osoby,Pałeczki i sztućce,ADG-000597,,,13.5|13.5,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2903/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
360df493-d327-4f37-8eeb-8153abb7e5bf,"Zestaw drewnianych pałeczek z motywem kwiatów wiśni 22,5cm - 2 pary",zestaw-drewnianych-paleczek-z-motywem-kwiatow-wisni-22-5cm-2-pary,https://asiandeligo.eshoper.pro/products/zestaw-drewnianych-paleczek-z-motywem-kwiatow-wisni-22-5cm-2-pary,Pałeczki i sztućce,ADG-000519,,,22.9|22.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2609/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
a5b39e5b-b40d-460e-9d5a-d6169819c03f,"Zestaw drewnianych pałeczek z niebieskimi wzorami 22,5cm - 5 par",zestaw-drewnianych-paleczek-z-niebieskimi-wzorami-22-5cm-5-par,https://asiandeligo.eshoper.pro/products/zestaw-drewnianych-paleczek-z-niebieskimi-wzorami-22-5cm-5-par,Pałeczki i sztućce,ADG-000632,,,22.5|22.5,100,https://img.zira.pl/asiandeligo/products/KIMCHI-3043/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
d96a6b03-57e7-4e9f-bd23-432f522b132e,"Zestaw Maneki Neko, pałeczki z ciemnego drewna z podstawkami 22,5cm - 4 pary",zestaw-maneki-neko-paleczki-z-ciemnego-drewna-z-podstawkami-22-5cm-4-pary,https://asiandeligo.eshoper.pro/products/zestaw-maneki-neko-paleczki-z-ciemnego-drewna-z-podstawkami-22-5cm-4-pary,Pałeczki i sztućce,ADG-000748,,,50.5|50.5,100,https://img.zira.pl/asiandeligo/products/KIMCHI-3629/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
cfc303ce-6dff-4648-82d2-d54a6320ab20,Zestaw pałeczek ze stali nierdzewnej 23cm - 5 par,zestaw-paleczek-ze-stali-nierdzewnej-23cm-5-par,https://asiandeligo.eshoper.pro/products/zestaw-paleczek-ze-stali-nierdzewnej-23cm-5-par,Pałeczki i sztućce,ADG-000415,,,25.9|25.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2200/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
4f76c1cb-882b-46a5-ae8c-d592a26fafba,"Zestaw Panda, pałeczki z motywem bambusa z podstawkami 22,5cm - 4 par",zestaw-panda-paleczki-z-motywem-bambusa-z-podstawkami-22-5cm-4-par,https://asiandeligo.eshoper.pro/products/zestaw-panda-paleczki-z-motywem-bambusa-z-podstawkami-22-5cm-4-par,Pałeczki i sztućce,ADG-000596,,,49.9|49.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2902/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
2adfcf58-0f48-4a79-9f14-f9e728644505,"Zestaw Seigaiha, pałeczki z ciemnego drewna z podstawkami 22,5cm - 4 par",zestaw-seigaiha-paleczki-z-ciemnego-drewna-z-podstawkami-22-5cm-4-par,https://asiandeligo.eshoper.pro/products/zestaw-seigaiha-paleczki-z-ciemnego-drewna-z-podstawkami-22-5cm-4-par,Pałeczki i sztućce,ADG-000595,,,48.9|48.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2901/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
fc75297c-6ce5-4147-b161-ad6be3a00ec0,Koszyk Wioli - Rodowity Koreańczyk,koszyk-wioli-rodowity-koreanczyk,https://asiandeligo.eshoper.pro/products/koszyk-wioli-rodowity-koreanczyk,*Kategoria tymczasowa,ADG-000607,,,94.74|94.74,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2927/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2927/2.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2927/3.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2927/4.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2927/5.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2927/6.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2927/7.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2927/8.webp,,,,,,backlog,legacy_image_key|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
b4ca9175-f165-4684-9e64-d00055af4510,Koszyk Wioli - Znawca,koszyk-wioli-znawca,https://asiandeligo.eshoper.pro/products/koszyk-wioli-znawca,Kimchi,ADG-000606,,,129.28|129.28,100,https://img.zira.pl/asiandeligo/products/KIMCHI-2925/1.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/2.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/3.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/4.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/5.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/6.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/7.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/8.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/9.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/10.webp|https://img.zira.pl/asiandeligo/products/KIMCHI-2925/11.webp,,,,,,backlog,legacy_image_key|missing_ingredients|missing_allergens|missing_nutrition|missing_country|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
68dfa501-74cb-454b-918c-2c71f4acc13b,Moździerz granitowy - śr. 14cm,mozdzierz-granitowy-sr-14cm,https://asiandeligo.eshoper.pro/products/mozdzierz-granitowy-sr-14cm,Moździerze,ADG-000067,,,74.9|74.9,100,https://img.zira.pl/asiandeligo/products/KIMCHI-240/1.webp,,,,,,backlog,legacy_image_key|non_ascii_category_slug|missing_ingredients|missing_allergens|missing_nutrition|missing_storage_zone|missing_unit_price|missing_english_translation|missing_english_description|missing_ean
